HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ
H3K27me3	SUZ12	1	1	3	0.366713965056908
H3K9ac	POLII	1	1	7	0.653966394956531
5mC	REST	0	0	1	0.0774430521539511
H3K4me1	MAX	0	0	4	0.451884338886514
H4K20me3	STAT3	1	1	1	0.198780188918954
5hmC	RYBP	1	1	3	0.369190445622595
CTCF	SMC1	1	1	2	0.538704894656223
H3K36me2	SUZ12	0	0	1	0.332985270390059
H3K4me1	G9A	1	1	3	0.512322316859385
H3K4me3	HCFC1	1	1	2	0.58840463658042
H3K79me2	MBD2T	0	0	1	0.128941240844781
H4K20me3	CoREST	1	1	1	0.054897551048141
H4K20me3	G9A	1	1	2	0.054897551048141
H2AZ	G9A	1	1	3	0.281234104172104
H2Aub1	RNAPII_S7P	1	1	3	0.276100588204091
5fC	BRG1	0	0	1	0.133334548076289
5fC	SOX2	0	0	2	0.329671185635472
H2Aub1	SUZ12	1	1	1	0.204893419880724
H3K27ac	BRG1	1	1	2	0.597995650610748
H3K4me2	KDM2B	1	1	4	0.618512233735919
H3K36me3	CBX3	1	1	1	0.266118968182512
H3K4me3	KDM2B	1	1	1	0.474747291832579
5hmC	G9A	1	1	2	0.212947078913183
H3K4me3	KDM2A	1	1	2	0.681137361087767
H3K9ac	KDM2A	1	1	1	0.752349375233338
H3K4me2	KDM2A	1	1	1	0.458198246994533
H3K9ac	ZC3H11A	1	1	1	0.320213143309024
5hmC	KDM2B	0	0	1	0.402217396168256
H3K27ac	TAF1	1	1	1	0.487906341995195
H3K27me3	KDM2B	1	1	1	0.67354909143207
H3K36me3	TAF1	1	1	1	0.509126303988978
H2Aub1	EZH2	1	1	1	0.504245245371655
H3K27me3	TET1	1	1	1	0.508952289795069
H3K79me2	SMC1	0	0	1	0.135065116188818
H3K9ac	MAFK	1	1	1	0.514149997312067
H3K9ac	RAD21	0	0	1	0.514149997312067
